Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/12/2022,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),Latest Reported Industry Type (sectors),2021 Total reported direct emissions,2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
1004377,110043803578,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.30,-96.54,562212,HH,Waste,314493.75,504064,518680.25,653854,250497.5,221014.75,199011.75,241883.5,289953.25,204000,194000
1010040,110071159872,15-18565/15-18662,Hazard,KY,40701,1021 Tori Drive,PERRY COUNTY,37.27,-83.24,212112,FF,Other,112348.75,144097.5,,125981.75,218699.25,141439.5,118204.5,225708.25,306680.75,348450.75,390393.5
1010085,110055519176,15-19015,Hazard,KY,41701,1845 S. KY HWY 15,PERRY COUNTY,37.24,-83.18,212112,FF,Other,,,,93918.75,70265,35907,55872.5,68761,57767,41513,64664.5
1012147,110070082172,17Z Gas Plant - Chevron USA Inc.,McKittrick,CA,93251,22845 Highway 33,,35.32,-119.63,211130,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",,,,3564.138,9298.916,10208.062,,,,,
1000112,110071159492,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,Kings,40.66,-74.00,221112,"C,D",Power Plants,46081.78,60819.7,44658.384,70705.288,52698.656,66797.352,67399.252,40722.2,102599.22,68984.744,100591.828
1006394,,29-6 #2 Central Delivery Point,Blanco,NM,87412,,Rio Arriba,36.75,-107.45,213112,C,Petroleum and Natural Gas Systems,,,,,,,15391.592,15353.192,14576.79,10872.56,19389.57
1013701,110070931003,30-30 Gas Plant,Plains,TX,79355,2300 FM 1622,YOAKUM COUNTY,33.09,-96.82,211130,"C,UU,W-PROC","Injection of CO2,Petroleum and Natural Gas Systems",26054.986,31276.214,,,,,,,,,
1002885,,30-5 Central Delivery Point Compressor Station,Aztec,NM,87410,,Rio Arriba,36.81,-107.40,213112,C,Petroleum and Natural Gas Systems,,,,,,,22506.516,21883.568,22329.72,26701.3,36223.16
1002707,,31-6 Central Delivery Point,BLOOMFIELD,NM,87413,,Rio Arriba,36.84,-107.42,213112,C,Petroleum and Natural Gas Systems,,,,,,,52646.752,62914.164,68228.44,66669.84,66286.81
1003742,110038508335,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,COOK COUNTY,41.83,-87.92,562212,"C,HH",Waste,7750.748,100500.948,18925.4,31220.15,29026.8,120657.6,92696.6,120707.35,97467.5,87357.75,95113.25
